Date,Matchup,Score,Spread Result,Minutes,Prop Line,PTS,REBS,ASSISTS,3s Scored,STEALS,BLOCKS,FGM-FGA (%),FTM-FTA (%),3PM-3PA (%)
11/14/2023,Philadelphia Logo @PHI,W 132-126,IND +6.0,38,21.5,O,33,7,15,7,2,1,11-18 (61%),4-5 (80%)
11/12/2023,Philadelphia Logo @PHI,L 137-126,PHI -7.0,37,20.5,O,25,1,17,3,2,1,9-14 (64%),4-4 (100%)
11/9/2023,Milwaukee Logo MIL,W 126-124,IND +1.0,38,21.5,O,29,6,10,5,0,1,10-17 (59%),4-4 (100%)
11/8/2023,Utah Logo UTH,W 134-118,IND -6.0,31,23.5,U,16,6,13,1,1,0,6-12 (50%),3-3 (100%)
11/6/2023,San Antonio Logo SAS,W 152-111,IND -8.5,27,21.5,O,23,2,8,3,1,1,9-19 (47%),2-2 (100%)
11/4/2023,Charlotte Logo CHA,L 125-124,CHA +5.0,37,20.5,O,43,2,12,8,0,1,14-21 (67%),7-7 (100%)
11/3/2023,Cleveland Logo CLE,W 121-116,IND +2.5,34,19.5,U,18,2,13,0,2,0,5-14 (36%),8-9 (89%)
10/30/2023,Chicago Logo CHI,L 112-105,CHI +3.0,36,20.5,U,19,5,13,1,2,0,6-16 (38%),6-7 (86%)
10/28/2023,Cleveland Logo @CLE,W 125-113,IND -4.5,32,19.5,O,21,8,13,4,0,0,7-16 (44%),3-3 (100%)
10/25/2023,Washington Logo WAS,W 143-120,IND -5.0,27,20.5,U,20,3,11,2,1,2,9-16 (56%),0-0 (0%)
