Date,Matchup,Score,Spread Result,Minutes,Prop Line,PTS,REBS,ASSISTS,3s Scored,STEALS,BLOCKS,FGM-FGA (%),FTM-FTA (%),3PM-3PA (%)
2024-04-01,Brooklyn Logo BKN,W 133-111,IND -12.5,27,18.5,O 27,4,13,4,1,1,9-15 (60%),5-5 (100%),4-7 (57%)
2024-03-29,Los Angeles Logo LAL,W 109-90,IND -3.5,33,18.5,O 21,8,8,3,2,0,7-15 (47%),4-4 (100%),3-8 (38%)
2024-03-27,Chicago Logo @CHI,L 125-99,CHI +3.0,31,18.5,U 13,4,5,3,0,0,4-15 (27%),2-3 (67%),3-11 (27%)
2024-03-25,Los Angeles Logo @LAC,W 133-116,IND +6.0,31,18.5,O 21,1,9,6,2,0,7-12 (58%),1-1 (100%),6-9 (67%)
2024-03-24,Los Angeles Logo @LAL,L 150-145,LAL -2.5,33,19.5,U 12,6,10,2,2,0,5-13 (38%),0-0 (0%),2-6 (33%)
2024-03-22,Golden State Logo @GSW,W 123-111,IND +4.5,38,18.5,O 26,2,11,4,4,3,9-18 (50%),4-5 (80%),4-8 (50%)
2024-03-20,Detroit Logo @DET,W 122-103,IND -11.0,26,19.5,O 20,3,9,1,4,0,9-13 (69%),1-2 (50%),1-3 (33%)
2024-03-18,Cleveland Logo CLE,L 108-103,CLE +6.5,32,18.5,U 14,6,12,1,1,1,4-14 (29%),5-5 (100%),1-9 (11%)
2024-03-16,Brooklyn Logo BKN,W 121-100,IND -8.0,31,19.5,U 14,7,4,1,2,1,6-18 (33%),1-1 (100%),1-9 (11%)
2024-03-13,Chicago Logo CHI,L 132-129,CHI +5.0,38,19.5,U 17,3,14,1,0,1,6-13 (46%),4-4 (100%),1-6 (17%)
2024-03-12,Oklahoma City Logo @OKC,W 121-111,IND +5.5,36,19.5,U 18,4,12,2,2,2,8-15 (53%),0-0 (0%),2-6 (33%)
2024-03-10,Orlando Logo @ORL,W 111-97,IND -1.0,36,19.5,O 20,7,8,1,0,0,6-15 (40%),7-7 (100%),1-6 (17%)
2024-03-07,Minnesota Logo MIN,L 113-111,MIN +1.5,37,18.5,O 23,3,13,2,1,0,9-15 (60%),3-4 (75%),2-7 (29%)
2024-03-05,Dallas Logo @DAL,W 137-120,IND +5.5,32,17.5,O 19,6,11,3,0,1,8-15 (53%),0-0 (0%),3-10 (30%)
2024-03-03,San Antonio Logo @SAS,L 117-105,SAS +6.5,36,18.5,U 12,6,8,0,0,1,4-16 (25%),4-4 (100%),0-6 (0%)
2024-03-01,New Orleans Logo @NOR,L 129-102,NOR -5.5,23,17.5,U 0,3,3,0,0,0,0-7 (0%),0-0 (0%),0-6 (0%)
2024-02-28,New Orleans Logo NOR,W 123-114,IND -4.0,34,19.5,U 17,3,13,3,1,1,7-15 (47%),0-0 (0%),3-8 (38%)
2024-02-26,Toronto Logo TOR,L 130-122,TOR +5.5,32,21.5,U 9,0,7,1,2,0,2-11 (18%),4-6 (67%),1-6 (17%)
2024-02-25,Dallas Logo DAL,W 133-111,IND +2.0,31,21.5,U 17,3,10,1,4,0,8-15 (53%),0-0 (0%),1-5 (20%)
2024-02-22,Detroit Logo DET,W 129-115,IND -12.0,34,20.5,O 25,2,13,4,2,0,10-18 (56%),1-1 (100%),4-10 (40%)
2024-02-14,Toronto Logo @TOR,W 127-125,TOR +2.5,34,24.5,U 21,4,12,5,2,0,6-13 (46%),4-5 (80%),5-9 (56%)
2024-02-12,Charlotte Logo @CHA,L 111-102,CHA +10.0,34,19.5,U 13,6,12,3,0,0,5-15 (33%),0-0 (0%),3-8 (38%)
2024-02-10,New York Logo @NYK,W 125-111,IND -3.0,30,17.5,O 22,3,12,4,0,1,7-14 (50%),4-5 (80%),4-9 (44%)
2024-02-08,Golden State Logo GSW,L 131-109,GSW +5.5,26,18.5,U 5,1,11,1,1,1,2-7 (29%),0-0 (0%),1-4 (25%)
2024-02-06,Houston Logo HOU,W 132-129,HOU +8.0,29,14.5,O 18,2,7,2,1,2,8-15 (53%),0-1 (0%),2-6 (33%)
2024-02-04,Charlotte Logo @CHA,W 115-99,IND -11.5,20,13.5,O 17,1,4,3,1,2,6-8 (75%),2-3 (67%),3-5 (60%)
2024-02-02,Sacramento Logo SAC,L 133-122,SAC -4.0,22,NL,14,3,1,1,1,0,6-10 (60%),1-1 (100%),1-3 (33%)
2024-02-01,New York Logo @NYK,L 109-105,NYK -2.0,22,15.5,U 15,4,5,2,0,2,6-10 (60%),1-1 (100%),2-6 (33%)
2024-01-30,Boston Logo @BOS,L 129-124,IND +8.0,22,19.5,U 13,3,10,1,1,0,5-16 (31%),2-2 (100%),1-5 (20%)
2024-01-19,Portland Logo @POR,L 118-115,POR +8.0,35,20.5,O 21,2,17,2,0,0,6-14 (43%),7-9 (78%),2-7 (29%)
2024-01-08,Boston Logo BOS,W 133-131,IND +3.5,13,23.5,U 7,2,6,1,0,0,3-5 (60%),0-0 (0%),1-3 (33%)
2024-01-06,Boston Logo BOS,L 118-101,BOS -7.0,35,23.5,U 17,6,7,2,5,0,5-17 (29%),5-5 (100%),2-9 (22%)
2024-01-05,Atlanta Logo ATL,W 150-116,IND -2.5,25,26.5,U 10,8,18,2,2,1,4-6 (67%),0-0 (0%),2-4 (50%)
2024-01-03,Milwaukee Logo MIL,W 142-130,IND +3.5,34,25.5,O 31,2,12,5,1,3,10-20 (50%),6-6 (100%),5-11 (45%)
2024-01-01,Milwaukee Logo @MIL,W 122-113,IND +8.5,37,25.5,O 26,9,11,1,1,1,11-22 (50%),3-3 (100%),1-7 (14%)
2023-12-30,New York Logo NYK,W 140-126,IND -4.0,36,25.5,U 22,5,23,2,2,1,8-17 (47%),4-4 (100%),2-10 (20%)
2023-12-28,Chicago Logo @CHI,W 120-104,IND -1.0,37,25.5,U 21,3,20,6,2,1,7-17 (41%),1-2 (50%),6-13 (46%)
2023-12-26,Houston Logo @HOU,W 123-117,IND +3.0,38,24.5,O 33,6,10,7,1,0,13-21 (62%),0-1 (0%),7-13 (54%)
2023-12-23,Orlando Logo ORL,L 117-110,ORL +2.5,40,23.5,O 29,2,15,3,3,0,12-22 (55%),2-3 (67%),3-5 (60%)
2023-12-21,Memphis Logo @MEM,L 116-103,MEM -2.0,38,24.5,U 17,4,14,2,0,0,7-19 (37%),1-2 (50%),2-12 (17%)
2023-12-20,Charlotte Logo CHA,W 144-113,IND -10.5,28,24.5,U 19,3,13,3,1,1,6-14 (43%),4-4 (100%),3-9 (33%)
2023-12-18,Los Angeles Logo LAC,L 151-127,LAC -4.0,31,26.5,U 8,2,11,1,0,0,3-12 (25%),1-2 (50%),1-5 (20%)
2023-12-15,Washington Logo @WAS,L 137-123,WAS +8.5,28,27.5,U 19,2,11,2,0,0,7-17 (41%),3-3 (100%),2-6 (33%)
2023-12-13,Milwaukee Logo @MIL,L 140-126,MIL -6.5,31,27.5,U 22,5,7,1,0,0,8-16 (50%),5-7 (71%),1-4 (25%)
2023-12-11,Detroit Logo @DET,W 131-123,IND -7.0,33,27.5,U 14,5,16,3,1,2,5-12 (42%),1-1 (100%),3-6 (50%)
2023-12-07,Milwaukee Logo @MIL,W 128-119,IND +5.0,37,28.5,U 27,7,15,3,0,1,11-19 (58%),2-2 (100%),3-9 (33%)
2023-12-04,Boston Logo BOS,W 122-112,IND +4.5,40,26.5,U 26,10,13,5,1,0,10-18 (56%),1-1 (100%),5-11 (45%)
2023-11-30,Miami Logo @MIA,L 142-132,MIA -3.5,40,24.5,O 44,2,10,6,3,1,15-28 (54%),8-12 (67%),6-16 (38%)
2023-11-27,Portland Logo POR,L 114-110,POR +12.0,36,24.5,O 33,2,9,3,0,0,11-17 (65%),8-9 (89%),3-6 (50%)
2023-11-24,Detroit Logo DET,W 136-113,IND -9.5,32,25.5,O 26,2,10,5,0,0,9-23 (39%),3-3 (100%),5-13 (38%)
2023-11-22,Toronto Logo TOR,L 132-131,TOR +2.5,34,24.5,O 33,3,16,5,0,1,12-22 (55%),4-5 (80%),5-10 (50%)
2023-11-21,Atlanta Logo @ATL,W 157-152,IND +3.5,39,22.5,O 37,5,16,9,3,1,11-18 (61%),6-7 (86%),9-15 (60%)
2023-11-19,Orlando Logo ORL,L 128-116,ORL +4.5,25,22.5,U 12,2,3,1,0,1,4-14 (29%),3-3 (100%),1-3 (33%)
2023-11-14,Philadelphia Logo @PHI,W 132-126,IND +6.0,38,21.5,O 33,7,15,7,2,1,11-18 (61%),4-5 (80%),7-12 (58%)
2023-11-12,Philadelphia Logo @PHI,L 137-126,PHI -7.0,37,20.5,O 25,1,17,3,2,1,9-14 (64%),4-4 (100%),3-6 (50%)
2023-11-09,Milwaukee Logo MIL,W 126-124,IND +1.0,38,21.5,O 29,6,10,5,0,1,10-17 (59%),4-4 (100%),5-9 (56%)
2023-11-08,Utah Logo UTH,W 134-118,IND -6.0,31,23.5,U 16,6,13,1,1,0,6-12 (50%),3-3 (100%),1-6 (17%)
2023-11-06,San Antonio Logo SAS,W 152-111,IND -8.5,27,21.5,O 23,2,8,3,1,1,9-19 (47%),2-2 (100%),3-7 (43%)
2023-11-04,Charlotte Logo CHA,L 125-124,CHA +5.0,37,20.5,O 43,2,12,8,0,1,14-21 (67%),7-7 (100%),8-12 (67%)
2023-11-03,Cleveland Logo CLE,W 121-116,IND +2.5,34,19.5,U 18,2,13,0,2,0,5-14 (36%),8-9 (89%),0-5 (0%)
2023-10-30,Chicago Logo CHI,L 112-105,CHI +3.0,36,20.5,U 19,5,13,1,2,0,6-16 (38%),6-7 (86%),1-8 (13%)
2023-10-28,Cleveland Logo @CLE,W 125-113,IND -4.5,32,19.5,O 21,8,13,4,0,0,7-16 (44%),3-3 (100%),4-7 (57%)
2023-10-25,Washington Logo WAS,W 143-120,IND -5.0,27,20.5,U 20,3,11,2,1,2,9-16 (56%),0-0 (0%),2-6 (33%)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
